Año,Mes,Índice Original,Interanual Original,Acumulada Original ,Promedio 12 meses Original,Índice Desestacionalizada,Respecto al período anterior Desestacionalizada,Interanual Desestacionalizada,Acumulada Desestacionalizada ,Promedio 12 meses Desestacionalizada,Índice Tendencia-Ciclo,Respecto al período anterior Tendencia-Ciclo,Interanual Tendencia-Ciclo,Acumulada Tendencia-Ciclo ,Promedio 12 meses Tendencia-Ciclo
2020,Marzo,93.25329950371056,-12.135708125085003,-1.0108149790214895,3.090131477668592,92.8582614206828,-12.320551551411768,-11.770917756205051,-1.2945597763612255,3.1100962555311753,95.0685466735673,-2.6457337720601544,-8.471142576695229,-5.241657264845159,1.9299763385119348
2020,Abril,73.94403162682292,-28.06300280533037,-7.7660649614529405,0.39154475376119535,76.6852331405963,-17.416897573406644,-26.67642923082677,-7.711564540671247,0.3956241412594039,93.4837520229344,-1.667002080166995,-10.501361582058294,-6.568682088710574,0.5998553528482091
2020,Mayo,88.6113998405126,-17.517936146599894,-9.784411604973627,-1.702848000037477,86.506087520197,12.806708641799318,-18.15882111111526,-9.837724666761801,-1.7342690177749347,93.2187949542696,-0.28342579638844256,-11.176484477418057,-7.500527646648379,-0.7516252826560503
2020,Junio,94.49561072743546,-6.48523656954049,-9.246804592860784,-2.362447759105436,96.3562711944841,11.386694227718166,-6.431743851069726,-9.274144546454835,-2.394983166665014,94.0631192298396,0.905744679476058,-10.70219275760779,-8.040747650903839,-2.0425066007023815
2020,Julio,94.70966359213602,-9.298494883127788,-9.254254146628497,-3.4624288798822107,96.9299577400073,0.5953805999458837,-8.653082846446523,-9.183677748378557,-3.488312735744998,95.466077212386,1.4915069732254267,-9.66456301504779,-8.275832704961672,-3.2438589627052465
2020,Agosto,96.07106786042654,-8.78957927068899,-9.195275996130832,-4.570662200431002,97.1890072895647,0.2672543717106066,-8.434307745038609,-9.08837659192821,-4.583158714463792,96.9604910633817,1.565387302623762,-8.53022835127642,-8.308090665065919,-4.356657379542028
2020,Septiembre,96.91154693082882,-5.664827214902857,-8.806374769049569,-5.457083059204152,99.5669331261976,2.446702464557646,-5.670337001435058,-8.704632091445745,-5.4684016869641425,98.3638145895576,1.4473147885137934,-7.433029807526523,-8.209403607806465,-5.384329700596155
2020,Octubre,98.497801877471,-6.729164669955679,-8.595083766701222,-6.406239473151302,99.4337879592428,-0.1337242825246392,-6.287067233843345,-8.459460000219877,-6.410739417353753,99.6952965482601,1.35362985286649,-6.064873355335081,-7.9922999596388,-6.271063723856415
2020,Noviembre,101.68311640566381,-5.778329814024204,-8.329856555007765,-7.232757821301263,99.3823730411156,-0.051707693312735614,-6.055457249198412,-8.2387102070346,-7.231566619789007,101.121698719314,1.430761751496874,-3.8751770990827055,-7.616841467222173,-6.88082288696063
2020,Diciembre,108.27620642136415,-3.849822096397432,-7.929052343843168,-7.929052343843168,102.151251419847,2.7860859969462552,-4.268390901959748,-7.902143447719865,-7.902143447719865,102.728856450765,1.5893302345642297,-0.5581353953333519,-7.036666429583789,-7.036666429583789
2021,Enero,106.66995346063284,-0.05253206654259657,-0.05253206654259657,-8.270738654797995,106.001477735328,3.769142582166097,-0.3035760955119997,-0.3035760955119997,-8.233844414195673,104.509524580171,1.733367031355428,3.8834575686057775,3.8834575686057775,-6.585888579641448
2021,Febrero,107.31182313624046,1.4832665637684102,0.7118157836523125,-8.518105676389567,106.332070691823,0.311875799807666,0.401807744579898,0.04842163955953538,-8.503622714774934,106.250565530622,1.6659160564025228,8.805132774932332,6.307672097690855,-5.4832175030435195
2021,Marzo,107.31819103611872,15.082459931456384,5.0952326723623,-6.459515839356072,107.461400027704,1.062077817664317,15.726267521705466,4.820200695554263,-6.4364362660135725,107.661691299424,1.328111301577323,13.246383863526631,8.556566339704986,-3.797844253036601
2021,Abril,105.42748980537255,42.57741630513033,12.395276756117426,-1.6936219417888907,108.898899130298,1.3376887907875954,42.007652152064935,12.289872053559463,-1.6830422754816539,108.612510462722,0.8831545852773388,16.183302565857716,10.399800016101636,-1.7093910838192983
2021,Mayo,112.41286224061383,26.86049700483271,15.132503563996693,1.8084072961315627,109.81334559811,0.8397205803870094,26.94291089337655,14.996748436531917,1.8094917312487837,109.140454283953,0.486080120035723,17.07988108781508,11.697040607686858,0.5444659127356317
