title,console,genre,publisher,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date
Spider-Man: The Movie,PS2,Action,Activision,8.2,4.48,2.71,0.03,1.51,0.23,2002-04-15
The Elder Scrolls IV: Oblivion,X360,Role-Playing,Take-Two Interactive,9.2,4.47,2.89,0.13,1.03,0.41,2009-07-07
Tony Hawk's Pro Skater 3,PS2,Sports,Activision,9.1,4.41,2.66,0.01,1.29,0.46,2001-10-28
Winning Eleven: Pro Evolution Soccer 2007,PS2,Sports,Konami,8.8,4.39,0.1,1.05,2.39,0.86,2007-02-06
Need for Speed: Most Wanted,PS2,Racing,Electronic Arts,8.6,4.37,2.03,0.08,1.79,0.47,2005-11-15
Michael Jackson: The Experience,Wii,Misc,Ubisoft,5.6,4.37,2.64,0.01,1.33,0.39,2010-11-23
Call of Duty: Advanced Warfare,X360,Shooter,Activision,9.1,4.34,2.81,0.0,1.13,0.41,2014-11-04
Batman: Arkham Asylum,PS3,Action,Eidos Interactive,9.0,4.28,2.26,0.07,1.33,0.63,2009-08-25
Call of Duty: Advanced Warfare,PS3,Shooter,Activision,9.1,4.27,1.59,0.2,1.81,0.67,2014-11-04
Assassin's Creed: Revelations,PS3,Action,Ubisoft,8.8,4.23,1.41,0.1,2.03,0.69,2011-11-15
Assassin's Creed: Revelations,X360,Action,Ubisoft,7.9,4.22,2.28,0.04,1.47,0.44,2011-11-15
FIFA Soccer 06,PS2,Sports,EA Sports,8.4,4.21,0.78,0.04,2.55,0.84,2005-10-04
Street Fighter IV,PS3,Fighting,Capcom,9.3,4.19,2.04,0.59,1.05,0.52,2009-02-17
FIFA Soccer 12,X360,Sports,EA Sports,9.2,4.18,0.85,0.02,2.79,0.52,2011-09-27
Call of Duty: Ghosts,PS4,Shooter,Activision,7.5,4.17,1.79,0.05,1.64,0.69,2013-11-15
Teenage Mutant Ninja Turtles,NES,Platform,Ultra Games,5.9,4.17,3.38,0.31,0.44,0.04,1989-06-01
Star Wars Battlefront (2015),XOne,Shooter,Electronic Arts,6.9,4.15,2.49,0.02,1.26,0.38,2015-11-17
Madden NFL 2003,PS2,Sports,EA Sports,9.4,4.14,3.36,0.01,0.21,0.56,2002-08-12
FIFA 07 Soccer,PS2,Sports,EA Sports,8.4,4.11,0.71,0.03,2.48,0.89,2006-10-03
Batman: Arkham Knight,PS4,Action,Warner Bros. Interactive,8.1,4.11,1.65,0.11,1.68,0.66,2015-06-23
The Sims 4,PC,Simulation,Electronic Arts,7.0,4.1,1.2,0.0,2.6,0.3,2014-09-02
Fallout: New Vegas,X360,Role-Playing,Bethesda Softworks,8.2,4.08,2.67,0.04,1.03,0.34,2010-10-19
Carnival Games,Wii,Misc,Global Star Software,4.2,4.06,2.12,0.05,1.47,0.42,2007-08-28
Far Cry 4,PS4,Shooter,Ubisoft,8.4,4.06,1.18,0.11,2.14,0.63,2014-11-18
World Soccer Winning Eleven 9,PS2,Sports,Konami,8.9,4.06,0.12,0.9,2.26,0.77,2006-02-07
Forza Motorsport 2,X360,Racing,Microsoft Game Studios,9.1,4.05,2.35,0.03,1.27,0.41,2007-05-29
Tekken Tag Tournament,PS2,Fighting,Namco,8.7,4.05,1.68,0.51,1.51,0.35,2000-10-25
Fallout 3,PS3,Role-Playing,Bethesda Softworks,8.8,4.0,2.18,0.07,1.15,0.61,2008-10-28
The Elder Scrolls V: Skyrim,PC,Role-Playing,Bethesda Softworks,9.2,3.99,1.18,0.0,2.25,0.56,2011-11-11
NBA 2K16,PS4,Sports,2K Sports,8.7,3.98,2.56,0.05,0.66,0.71,2015-09-29
